[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 3, num timesteps 6144, FPS 446, time 13.75 seconds rewards: 119.32944129856344 247.2661981253851 std: 87.53187904186048 97.45183145160763 tensor([0.6000, 0.4000])
[RL] Updates 4, num timesteps 8192, FPS 461, time 17.74 seconds rewards: 159.72626211112558 352.5160734375398 std: 75.41375410162658 132.8671503767534 tensor([0.6000, 0.4000])
[RL] Updates 5, num timesteps 10240, FPS 473, time 21.65 seconds rewards: 204.57241532817676 353.54431500648604 std: 114.75444349732726 102.5202504383329 tensor([0.6000, 0.4000])
[RL] Updates 6, num timesteps 12288, FPS 480, time 25.60 seconds rewards: 249.62878621618 402.9859793256727 std: 113.69702907779684 96.58182605082206 tensor([0.6000, 0.4000])
[RL] Updates 7, num timesteps 14336, FPS 485, time 29.52 seconds rewards: 238.43479262794477 423.504133122836 std: 169.17762057413285 189.94808851961125 tensor([0.6000, 0.4000])
[RL] Updates 8, num timesteps 16384, FPS 490, time 33.40 seconds rewards: 301.335958895555 374.03695133199835 std: 64.93116181174042 127.0570235341211 tensor([0.6000, 0.4000])
[RL] Updates 9, num timesteps 18432, FPS 493, time 37.37 seconds rewards: 285.4421469515738 352.9845377033048 std: 57.571391088083864 94.18380019603562 tensor([0.6000, 0.4000])
[RL] Updates 10, num timesteps 20480, FPS 495, time 41.31 seconds rewards: 315.8998714283832 441.1418865529751 std: 75.3864737674608 156.27876226126992 tensor([0.6000, 0.4000])
[RL] Updates 11, num timesteps 22528, FPS 498, time 45.20 seconds rewards: 307.32251813526904 384.2383373372405 std: 65.40747406036978 142.52925987483104 tensor([0.6000, 0.4000])
[RL] Updates 12, num timesteps 24576, FPS 499, time 49.20 seconds rewards: 315.7501206595161 402.4064802750034 std: 44.89672808058712 82.67325205993866 tensor([0.6000, 0.4000])
[RL] Updates 13, num timesteps 26624, FPS 501, time 53.10 seconds rewards: 291.43217892371445 358.0956828714249 std: 36.46019015168783 66.06289050866974 tensor([0.6000, 0.4000])
[RL] Updates 14, num timesteps 28672, FPS 502, time 57.09 seconds rewards: 321.3199039209224 432.6346361070955 std: 90.33308404455018 225.37928123145775 tensor([0.6000, 0.4000])
[RL] Updates 15, num timesteps 30720, FPS 503, time 61.06 seconds rewards: 321.8569153952928 415.2657301467631 std: 56.92091977122653 97.08330820722865 tensor([0.6000, 0.4000])
[RL] Updates 16, num timesteps 32768, FPS 504, time 64.96 seconds rewards: 357.3349357116934 477.789643023144 std: 114.43704102498747 234.95362549352433 tensor([0.6000, 0.4000])
[RL] Updates 17, num timesteps 34816, FPS 505, time 68.94 seconds rewards: 338.96558069672295 418.7964321164558 std: 38.2206331377846 81.35454308006089 tensor([0.6000, 0.4000])
[RL] Updates 18, num timesteps 36864, FPS 505, time 72.90 seconds rewards: 366.77295786489435 465.2558939814986 std: 48.323246055122866 81.45181389167101 tensor([0.6000, 0.4000])
[RL] Updates 19, num timesteps 38912, FPS 506, time 76.79 seconds rewards: 360.21737458200704 454.2096543118106 std: 37.70421729408936 57.06337310713937 tensor([0.6000, 0.4000])
[RL] Updates 20, num timesteps 40960, FPS 507, time 80.79 seconds rewards: 377.1924924634913 470.08830141287274 std: 44.10890125908015 91.28422533719585 tensor([0.6000, 0.4000])
[RL] Updates 21, num timesteps 43008, FPS 507, time 84.74 seconds rewards: 426.52302991604085 583.0350535488017 std: 98.2102876816501 181.7228185563618 tensor([0.6000, 0.4000])
[RL] Updates 22, num timesteps 45056, FPS 508, time 88.60 seconds rewards: 441.13632899193453 700.9194912626604 std: 126.80519071008794 217.48371627891729 tensor([0.6000, 0.4000])
[RL] Updates 23, num timesteps 47104, FPS 508, time 92.57 seconds rewards: 449.09612598680434 641.0191920582214 std: 76.36923410183452 162.35414441420667 tensor([0.6000, 0.4000])
