[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 37, num timesteps 75776, FPS 534, time 141.72 seconds rewards: 1679.0185787317077 683.6914746009613 std: 431.93987978074904 310.41680949763094 tensor([0.6000, 0.4000])
[RL] Updates 38, num timesteps 77824, FPS 535, time 145.43 seconds rewards: 1470.8523066430632 676.063321571806 std: 651.9751031097853 505.05336645724054 tensor([0.6000, 0.4000])
[RL] Updates 39, num timesteps 79872, FPS 535, time 149.21 seconds rewards: 1712.6292756330083 753.6579927487899 std: 643.8471365457813 377.3533249525112 tensor([0.6000, 0.4000])
[RL] Updates 40, num timesteps 81920, FPS 535, time 153.00 seconds rewards: 1949.0430434093985 1043.4381793518876 std: 377.4991600554737 359.50980775835484 tensor([0.6000, 0.4000])
[RL] Updates 41, num timesteps 83968, FPS 535, time 156.72 seconds rewards: 1593.0394990730128 843.3949791509974 std: 425.8174868967946 285.64985437654667 tensor([0.6000, 0.4000])
[RL] Updates 42, num timesteps 86016, FPS 535, time 160.48 seconds rewards: 1733.8732733301717 892.6423241726588 std: 443.00304577656055 357.7419563414663 tensor([0.6000, 0.4000])
[RL] Updates 43, num timesteps 88064, FPS 536, time 164.22 seconds rewards: 1769.4629266660959 1079.792158592122 std: 450.73890727918035 237.31927965464288 tensor([0.6000, 0.4000])
[RL] Updates 44, num timesteps 90112, FPS 536, time 167.98 seconds rewards: 1928.5695151900786 1103.8687324506604 std: 588.7714250466671 414.523597647936 tensor([0.6000, 0.4000])
[RL] Updates 45, num timesteps 92160, FPS 536, time 171.75 seconds rewards: 2211.304803975648 1330.7339798392468 std: 379.4001881609527 397.6714628121606 tensor([0.6000, 0.4000])
[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 1, num timesteps 2048, FPS 352, time 5.82 seconds rewards: 41.02366738759238 -119.36004663370682 std: 128.85026094247996 27.429489016615143 tensor([0.8000, 0.2000])
[RL] Updates 2, num timesteps 4096, FPS 427, time 9.59 seconds rewards: 67.64013481896374 -124.74085160943397 std: 186.53647535838292 45.595743053964405 tensor([0.8000, 0.2000])
[RL] Updates 3, num timesteps 6144, FPS 459, time 13.38 seconds rewards: 256.3378026023178 -94.18348103236426 std: 35.15811366916077 47.33575075379055 tensor([0.8000, 0.2000])
[RL] Updates 4, num timesteps 8192, FPS 475, time 17.24 seconds rewards: 264.17957352410167 -137.75859844659135 std: 25.424945423409298 31.58102632739781 tensor([0.8000, 0.2000])
[RL] Updates 5, num timesteps 10240, FPS 487, time 21.01 seconds rewards: 241.8359368678078 -100.14449451196148 std: 40.62812411839848 72.46243145176526 tensor([0.8000, 0.2000])
[RL] Updates 6, num timesteps 12288, FPS 494, time 24.84 seconds rewards: 248.65563880782798 -124.26018246378446 std: 62.524020639772736 71.0058603438466 tensor([0.8000, 0.2000])
[RL] Updates 7, num timesteps 14336, FPS 500, time 28.64 seconds rewards: 260.6496053385476 -139.85210546051593 std: 25.70307746504408 24.192993799142098 tensor([0.8000, 0.2000])
[RL] Updates 8, num timesteps 16384, FPS 505, time 32.43 seconds rewards: 299.2840044744504 -149.56222859190052 std: 29.393142789996503 30.16412519251815 tensor([0.8000, 0.2000])
[RL] Updates 9, num timesteps 18432, FPS 508, time 36.23 seconds rewards: 314.79016340698564 -166.06825311339483 std: 24.97985383498531 23.339807016248972 tensor([0.8000, 0.2000])
[RL] Updates 10, num timesteps 20480, FPS 511, time 40.04 seconds rewards: 355.6713172126979 -188.93525639777386 std: 30.383515325022234 27.388867389228327 tensor([0.8000, 0.2000])
[RL] Updates 11, num timesteps 22528, FPS 514, time 43.79 seconds rewards: 372.10496692475397 -199.0788222201571 std: 32.273136431470284 30.236237374391184 tensor([0.8000, 0.2000])
[RL] Updates 12, num timesteps 24576, FPS 515, time 47.64 seconds rewards: 364.61740702635666 -192.17019524595722 std: 24.17355444427752 12.828661077033985 tensor([0.8000, 0.2000])
[RL] Updates 13, num timesteps 26624, FPS 518, time 51.40 seconds rewards: 398.0640155369275 -189.40778123488252 std: 46.99321569582221 24.1261769105351 tensor([0.8000, 0.2000])
[RL] Updates 14, num timesteps 28672, FPS 519, time 55.17 seconds rewards: 436.64395733574867 -184.0545874819549 std: 35.706669670958306 23.275806069259687 tensor([0.8000, 0.2000])
[RL] Updates 15, num timesteps 30720, FPS 521, time 58.94 seconds rewards: 424.75738408835986 -165.7664308432123 std: 48.91869821554649 16.729502984097746 tensor([0.8000, 0.2000])
[RL] Updates 16, num timesteps 32768, FPS 522, time 62.67 seconds rewards: 461.5232244157816 -172.5060330049611 std: 60.609314687347215 28.057676768803038 tensor([0.8000, 0.2000])
[RL] Updates 17, num timesteps 34816, FPS 523, time 66.45 seconds rewards: 571.3021819199284 -173.59263805419002 std: 137.02987095723995 32.187387860270675 tensor([0.8000, 0.2000])
[RL] Updates 18, num timesteps 36864, FPS 524, time 70.24 seconds rewards: 600.2216085198318 -159.5018391899925 std: 125.29814417989988 30.853368181535853 tensor([0.8000, 0.2000])
[RL] Updates 19, num timesteps 38912, FPS 526, time 73.97 seconds rewards: 655.9087324553254 -172.72567098324748 std: 89.20103946873313 27.57224429837199 tensor([0.8000, 0.2000])
[RL] Updates 20, num timesteps 40960, FPS 526, time 77.78 seconds rewards: 698.7849806865272 -152.86278910535472 std: 94.64718000812852 78.78057109315355 tensor([0.8000, 0.2000])
[RL] Updates 21, num timesteps 43008, FPS 527, time 81.57 seconds rewards: 654.0818371666128 -164.11588591308038 std: 135.30936887868737 74.64367381926803 tensor([0.8000, 0.2000])
[RL] Updates 22, num timesteps 45056, FPS 528, time 85.30 seconds rewards: 555.5557546373446 -8.066239584781892 std: 218.75550757517908 150.64358238513515 tensor([0.8000, 0.2000])
[RL] Updates 23, num timesteps 47104, FPS 528, time 89.11 seconds rewards: 618.2442038152124 26.75759027913076 std: 250.13070487109675 114.27206062421413 tensor([0.8000, 0.2000])
[RL] Updates 24, num timesteps 49152, FPS 529, time 92.83 seconds rewards: 824.6707631560151 -104.67316660468516 std: 206.84461025160928 117.29934539106881 tensor([0.8000, 0.2000])
[RL] Updates 25, num timesteps 51200, FPS 529, time 96.63 seconds rewards: 671.3507509410656 -85.0406776451043 std: 205.63741286296215 140.7866183191116 tensor([0.8000, 0.2000])
[RL] Updates 26, num timesteps 53248, FPS 530, time 100.41 seconds rewards: 890.3137574429451 -34.41853903426031 std: 262.31265256057424 120.1092058389859 tensor([0.8000, 0.2000])
[RL] Updates 27, num timesteps 55296, FPS 531, time 104.13 seconds rewards: 657.0944077266619 -29.95175842970419 std: 247.8504650128894 139.83583852287438 tensor([0.8000, 0.2000])
[RL] Updates 28, num timesteps 57344, FPS 531, time 107.90 seconds rewards: 797.7959759382786 -33.23822409659938 std: 261.78802370262235 113.94570889759744 tensor([0.8000, 0.2000])
[RL] Updates 29, num timesteps 59392, FPS 531, time 111.67 seconds rewards: 894.0454557083709 -104.59892123503221 std: 179.4250729205247 95.80776733459815 tensor([0.8000, 0.2000])
[RL] Updates 30, num timesteps 61440, FPS 532, time 115.41 seconds rewards: 886.3728806454503 -53.19367529147827 std: 250.58210442685981 124.53263685618123 tensor([0.8000, 0.2000])
[RL] Updates 31, num timesteps 63488, FPS 532, time 119.18 seconds rewards: 802.236320173986 -103.483305126759 std: 236.86378669445028 117.05311719091291 tensor([0.8000, 0.2000])
[RL] Updates 32, num timesteps 65536, FPS 533, time 122.92 seconds rewards: 1069.1961186124656 13.270412929270098 std: 163.04295674204698 100.62386085266817 tensor([0.8000, 0.2000])
[RL] Updates 33, num timesteps 67584, FPS 533, time 126.65 seconds rewards: 893.8056451482273 10.075577271581796 std: 309.11901839360104 155.449154169794 tensor([0.8000, 0.2000])
[RL] Updates 34, num timesteps 69632, FPS 534, time 130.40 seconds rewards: 1054.413926350973 -6.2636404646362696 std: 86.96574599914348 109.13347757608157 tensor([0.8000, 0.2000])
[RL] Updates 35, num timesteps 71680, FPS 534, time 134.14 seconds rewards: 865.7775909829483 52.40638840677609 std: 282.3612992676549 138.16083708901093 tensor([0.8000, 0.2000])
[RL] Updates 36, num timesteps 73728, FPS 534, time 137.92 seconds rewards: 987.9057009574101 1.36150632343099 std: 159.09006291162288 173.1929255602748 tensor([0.8000, 0.2000])
[RL] Updates 37, num timesteps 75776, FPS 534, time 141.73 seconds rewards: 1049.7643163390264 -25.120505197873 std: 111.4158046586835 142.89520448420458 tensor([0.8000, 0.2000])
[RL] Updates 38, num timesteps 77824, FPS 535, time 145.46 seconds rewards: 1064.3209186278502 135.9840962327286 std: 181.7020025615312 87.71642046099235 tensor([0.8000, 0.2000])
[RL] Updates 39, num timesteps 79872, FPS 535, time 149.25 seconds rewards: 980.6738450106783 161.25771026536884 std: 319.8732767670271 142.3946727244463 tensor([0.8000, 0.2000])
[RL] Updates 40, num timesteps 81920, FPS 535, time 153.04 seconds rewards: 944.9655941207526 47.86655694777927 std: 314.2986838218592 174.22723505891304 tensor([0.8000, 0.2000])
